IMAGE\LABEL,airplane,bare-soil,buildings,cars,chaparral,court,dock,field,grass,mobile-home,pavement,sand,sea,ship,tanks,trees,water
airport_1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
airport_2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_3,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
airport_4,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
airport_5,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
airport_6,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_7,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_8,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_9,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_10,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_11,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
airport_12,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_13,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_14,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_15,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_16,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
airport_17,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
airport_18,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_19,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_20,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_21,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_22,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
airport_23,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_24,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_25,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_26,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1
airport_27,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_28,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_29,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1
airport_30,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_31,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_32,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_33,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_34,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1
airport_35,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
